Pattern,Topology,Offset,Rank_A,Coord_A,Rank_B,Coord_B,Hop_Count
AllPingPong Neighbor11,mesh,"(0, -1, 0)",2,"(2, 0, 0)",6,"(2, 1, 0)",3
AllPingPong Neighbor11,mesh,"(0, -1, 0)",3,"(3, 0, 0)",7,"(3, 1, 0)",3
AllPingPong Neighbor11,mesh,"(0, -1, 0)",4,"(0, 1, 0)",8,"(0, 2, 0)",3
AllPingPong Neighbor11,mesh,"(0, -1, 0)",5,"(1, 1, 0)",9,"(1, 2, 0)",3
AllPingPong Neighbor11,mesh,"(0, -1, 0)",6,"(2, 1, 0)",10,"(2, 2, 0)",3
AllPingPong Neighbor11,mesh,"(0, -1, 0)",7,"(3, 1, 0)",11,"(3, 2, 0)",3
AllPingPong Neighbor11,mesh,"(0, -1, 0)",8,"(0, 2, 0)",12,"(0, 3, 0)",3
AllPingPong Neighbor11,mesh,"(0, -1, 0)",9,"(1, 2, 0)",13,"(1, 3, 0)",3
AllPingPong Neighbor11,mesh,"(0, -1, 0)",10,"(2, 2, 0)",14,"(2, 3, 0)",3
AllPingPong Neighbor11,mesh,"(0, -1, 0)",11,"(3, 2, 0)",15,"(3, 3, 0)",3
AllPingPong Neighbor11,mesh,"(0, -1, 0)",16,"(0, 0, 1)",20,"(0, 1, 1)",3
AllPingPong Neighbor11,mesh,"(0, -1, 0)",17,"(1, 0, 1)",21,"(1, 1, 1)",3
AllPingPong Neighbor11,mesh,"(0, -1, 0)",18,"(2, 0, 1)",22,"(2, 1, 1)",3
AllPingPong Neighbor11,mesh,"(0, -1, 0)",19,"(3, 0, 1)",23,"(3, 1, 1)",3
AllPingPong Neighbor11,mesh,"(0, -1, 0)",20,"(0, 1, 1)",24,"(0, 2, 1)",3
AllPingPong Neighbor11,mesh,"(0, -1, 0)",21,"(1, 1, 1)",25,"(1, 2, 1)",3
AllPingPong Neighbor11,mesh,"(0, -1, 0)",22,"(2, 1, 1)",26,"(2, 2, 1)",3
AllPingPong Neighbor11,mesh,"(0, -1, 0)",23,"(3, 1, 1)",27,"(3, 2, 1)",3
AllPingPong Neighbor11,mesh,"(0, -1, 0)",24,"(0, 2, 1)",28,"(0, 3, 1)",3
AllPingPong Neighbor11,mesh,"(0, -1, 0)",25,"(1, 2, 1)",29,"(1, 3, 1)",3
AllPingPong Neighbor11,mesh,"(0, -1, 0)",26,"(2, 2, 1)",30,"(2, 3, 1)",3
AllPingPong Neighbor11,mesh,"(0, -1, 0)",27,"(3, 2, 1)",31,"(3, 3, 1)",3
AllPingPong Neighbor12,mesh,"(0, -1, 1)",4,"(0, 1, 0)",16,"(0, 0, 1)",4
AllPingPong Neighbor12,mesh,"(0, -1, 1)",5,"(1, 1, 0)",17,"(1, 0, 1)",4
AllPingPong Neighbor12,mesh,"(0, -1, 1)",6,"(2, 1, 0)",18,"(2, 0, 1)",4
AllPingPong Neighbor12,mesh,"(0, -1, 1)",7,"(3, 1, 0)",19,"(3, 0, 1)",4
AllPingPong Neighbor12,mesh,"(0, -1, 1)",8,"(0, 2, 0)",20,"(0, 1, 1)",4
AllPingPong Neighbor12,mesh,"(0, -1, 1)",9,"(1, 2, 0)",21,"(1, 1, 1)",4
AllPingPong Neighbor12,mesh,"(0, -1, 1)",10,"(2, 2, 0)",22,"(2, 1, 1)",4
AllPingPong Neighbor12,mesh,"(0, -1, 1)",11,"(3, 2, 0)",23,"(3, 1, 1)",4
AllPingPong Neighbor12,mesh,"(0, -1, 1)",12,"(0, 3, 0)",24,"(0, 2, 1)",4
AllPingPong Neighbor12,mesh,"(0, -1, 1)",13,"(1, 3, 0)",25,"(1, 2, 1)",4
AllPingPong Neighbor12,mesh,"(0, -1, 1)",14,"(2, 3, 0)",26,"(2, 2, 1)",4
AllPingPong Neighbor12,mesh,"(0, -1, 1)",15,"(3, 3, 0)",27,"(3, 2, 1)",4
AllPingPong Neighbor13,mesh,"(0, 0, -1)",0,"(0, 0, 0)",16,"(0, 0, 1)",3
AllPingPong Neighbor13,mesh,"(0, 0, -1)",1,"(1, 0, 0)",17,"(1, 0, 1)",3
AllPingPong Neighbor13,mesh,"(0, 0, -1)",2,"(2, 0, 0)",18,"(2, 0, 1)",3
AllPingPong Neighbor13,mesh,"(0, 0, -1)",3,"(3, 0, 0)",19,"(3, 0, 1)",3
AllPingPong Neighbor13,mesh,"(0, 0, -1)",4,"(0, 1, 0)",20,"(0, 1, 1)",3
AllPingPong Neighbor13,mesh,"(0, 0, -1)",5,"(1, 1, 0)",21,"(1, 1, 1)",3
AllPingPong Neighbor13,mesh,"(0, 0, -1)",6,"(2, 1, 0)",22,"(2, 1, 1)",3
AllPingPong Neighbor13,mesh,"(0, 0, -1)",7,"(3, 1, 0)",23,"(3, 1, 1)",3
AllPingPong Neighbor13,mesh,"(0, 0, -1)",8,"(0, 2, 0)",24,"(0, 2, 1)",3
AllPingPong Neighbor13,mesh,"(0, 0, -1)",9,"(1, 2, 0)",25,"(1, 2, 1)",3
AllPingPong Neighbor13,mesh,"(0, 0, -1)",10,"(2, 2, 0)",26,"(2, 2, 1)",3
AllPingPong Neighbor13,mesh,"(0, 0, -1)",11,"(3, 2, 0)",27,"(3, 2, 1)",3
AllPingPong Neighbor13,mesh,"(0, 0, -1)",12,"(0, 3, 0)",28,"(0, 3, 1)",3
AllPingPong Neighbor13,mesh,"(0, 0, -1)",13,"(1, 3, 0)",29,"(1, 3, 1)",3
AllPingPong Neighbor13,mesh,"(0, 0, -1)",14,"(2, 3, 0)",30,"(2, 3, 1)",3
AllPingPong Neighbor13,mesh,"(0, 0, -1)",15,"(3, 3, 0)",31,"(3, 3, 1)",3
AllPingPong Neighbor14,mesh,"(0, 0, 1)",0,"(0, 0, 0)",16,"(0, 0, 1)",3
AllPingPong Neighbor14,mesh,"(0, 0, 1)",1,"(1, 0, 0)",17,"(1, 0, 1)",3
AllPingPong Neighbor14,mesh,"(0, 0, 1)",2,"(2, 0, 0)",18,"(2, 0, 1)",3
AllPingPong Neighbor14,mesh,"(0, 0, 1)",3,"(3, 0, 0)",19,"(3, 0, 1)",3
AllPingPong Neighbor14,mesh,"(0, 0, 1)",4,"(0, 1, 0)",20,"(0, 1, 1)",3
AllPingPong Neighbor14,mesh,"(0, 0, 1)",5,"(1, 1, 0)",21,"(1, 1, 1)",3
AllPingPong Neighbor14,mesh,"(0, 0, 1)",6,"(2, 1, 0)",22,"(2, 1, 1)",3
AllPingPong Neighbor14,mesh,"(0, 0, 1)",7,"(3, 1, 0)",23,"(3, 1, 1)",3
AllPingPong Neighbor14,mesh,"(0, 0, 1)",8,"(0, 2, 0)",24,"(0, 2, 1)",3
AllPingPong Neighbor14,mesh,"(0, 0, 1)",9,"(1, 2, 0)",25,"(1, 2, 1)",3
AllPingPong Neighbor14,mesh,"(0, 0, 1)",10,"(2, 2, 0)",26,"(2, 2, 1)",3
AllPingPong Neighbor14,mesh,"(0, 0, 1)",11,"(3, 2, 0)",27,"(3, 2, 1)",3
AllPingPong Neighbor14,mesh,"(0, 0, 1)",12,"(0, 3, 0)",28,"(0, 3, 1)",3
AllPingPong Neighbor14,mesh,"(0, 0, 1)",13,"(1, 3, 0)",29,"(1, 3, 1)",3
AllPingPong Neighbor14,mesh,"(0, 0, 1)",14,"(2, 3, 0)",30,"(2, 3, 1)",3
AllPingPong Neighbor14,mesh,"(0, 0, 1)",15,"(3, 3, 0)",31,"(3, 3, 1)",3
AllPingPong Neighbor15,mesh,"(0, 1, -1)",4,"(0, 1, 0)",16,"(0, 0, 1)",4
AllPingPong Neighbor15,mesh,"(0, 1, -1)",5,"(1, 1, 0)",17,"(1, 0, 1)",4
AllPingPong Neighbor15,mesh,"(0, 1, -1)",6,"(2, 1, 0)",18,"(2, 0, 1)",4
AllPingPong Neighbor15,mesh,"(0, 1, -1)",7,"(3, 1, 0)",19,"(3, 0, 1)",4
AllPingPong Neighbor15,mesh,"(0, 1, -1)",8,"(0, 2, 0)",20,"(0, 1, 1)",4
AllPingPong Neighbor15,mesh,"(0, 1, -1)",9,"(1, 2, 0)",21,"(1, 1, 1)",4
AllPingPong Neighbor15,mesh,"(0, 1, -1)",10,"(2, 2, 0)",22,"(2, 1, 1)",4
AllPingPong Neighbor15,mesh,"(0, 1, -1)",11,"(3, 2, 0)",23,"(3, 1, 1)",4
AllPingPong Neighbor15,mesh,"(0, 1, -1)",12,"(0, 3, 0)",24,"(0, 2, 1)",4
AllPingPong Neighbor15,mesh,"(0, 1, -1)",13,"(1, 3, 0)",25,"(1, 2, 1)",4
AllPingPong Neighbor15,mesh,"(0, 1, -1)",14,"(2, 3, 0)",26,"(2, 2, 1)",4
AllPingPong Neighbor15,mesh,"(0, 1, -1)",15,"(3, 3, 0)",27,"(3, 2, 1)",4
AllPingPong Neighbor16,mesh,"(0, 1, 0)",0,"(0, 0, 0)",4,"(0, 1, 0)",3
AllPingPong Neighbor16,mesh,"(0, 1, 0)",1,"(1, 0, 0)",5,"(1, 1, 0)",3
AllPingPong Neighbor16,mesh,"(0, 1, 0)",2,"(2, 0, 0)",6,"(2, 1, 0)",3
AllPingPong Neighbor16,mesh,"(0, 1, 0)",3,"(3, 0, 0)",7,"(3, 1, 0)",3
AllPingPong Neighbor16,mesh,"(0, 1, 0)",4,"(0, 1, 0)",8,"(0, 2, 0)",3
AllPingPong Neighbor16,mesh,"(0, 1, 0)",5,"(1, 1, 0)",9,"(1, 2, 0)",3
AllPingPong Neighbor16,mesh,"(0, 1, 0)",6,"(2, 1, 0)",10,"(2, 2, 0)",3
AllPingPong Neighbor16,mesh,"(0, 1, 0)",7,"(3, 1, 0)",11,"(3, 2, 0)",3
AllPingPong Neighbor16,mesh,"(0, 1, 0)",8,"(0, 2, 0)",12,"(0, 3, 0)",3
AllPingPong Neighbor16,mesh,"(0, 1, 0)",9,"(1, 2, 0)",13,"(1, 3, 0)",3
AllPingPong Neighbor16,mesh,"(0, 1, 0)",10,"(2, 2, 0)",14,"(2, 3, 0)",3
AllPingPong Neighbor16,mesh,"(0, 1, 0)",11,"(3, 2, 0)",15,"(3, 3, 0)",3
AllPingPong Neighbor16,mesh,"(0, 1, 0)",16,"(0, 0, 1)",20,"(0, 1, 1)",3
AllPingPong Neighbor16,mesh,"(0, 1, 0)",17,"(1, 0, 1)",21,"(1, 1, 1)",3
AllPingPong Neighbor16,mesh,"(0, 1, 0)",18,"(2, 0, 1)",22,"(2, 1, 1)",3
AllPingPong Neighbor16,mesh,"(0, 1, 0)",19,"(3, 0, 1)",23,"(3, 1, 1)",3
AllPingPong Neighbor16,mesh,"(0, 1, 0)",20,"(0, 1, 1)",24,"(0, 2, 1)",3
AllPingPong Neighbor16,mesh,"(0, 1, 0)",21,"(1, 1, 1)",25,"(1, 2, 1)",3
AllPingPong Neighbor16,mesh,"(0, 1, 0)",22,"(2, 1, 1)",26,"(2, 2, 1)",3
AllPingPong Neighbor16,mesh,"(0, 1, 0)",23,"(3, 1, 1)",27,"(3, 2, 1)",3
AllPingPong Neighbor16,mesh,"(0, 1, 0)",24,"(0, 2, 1)",28,"(0, 3, 1)",3
AllPingPong Neighbor16,mesh,"(0, 1, 0)",25,"(1, 2, 1)",29,"(1, 3, 1)",3
AllPingPong Neighbor16,mesh,"(0, 1, 0)",26,"(2, 2, 1)",30,"(2, 3, 1)",3
AllPingPong Neighbor16,mesh,"(0, 1, 0)",27,"(3, 2, 1)",31,"(3, 3, 1)",3
AllPingPong Neighbor17,mesh,"(0, 1, 1)",0,"(0, 0, 0)",20,"(0, 1, 1)",4
AllPingPong Neighbor17,mesh,"(0, 1, 1)",1,"(1, 0, 0)",21,"(1, 1, 1)",4
AllPingPong Neighbor17,mesh,"(0, 1, 1)",2,"(2, 0, 0)",22,"(2, 1, 1)",4
AllPingPong Neighbor17,mesh,"(0, 1, 1)",3,"(3, 0, 0)",23,"(3, 1, 1)",4
AllPingPong Neighbor17,mesh,"(0, 1, 1)",4,"(0, 1, 0)",24,"(0, 2, 1)",4
AllPingPong Neighbor17,mesh,"(0, 1, 1)",5,"(1, 1, 0)",25,"(1, 2, 1)",4
AllPingPong Neighbor17,mesh,"(0, 1, 1)",6,"(2, 1, 0)",26,"(2, 2, 1)",4
AllPingPong Neighbor17,mesh,"(0, 1, 1)",7,"(3, 1, 0)",27,"(3, 2, 1)",4
AllPingPong Neighbor17,mesh,"(0, 1, 1)",8,"(0, 2, 0)",28,"(0, 3, 1)",4
AllPingPong Neighbor17,mesh,"(0, 1, 1)",9,"(1, 2, 0)",29,"(1, 3, 1)",4
